site,code,latitude,longitude,site_type,postcode,valid
Bradford Centre,BRAD,53.79339,-1.748694,Urban Background,BD1 5AF,TRUE
Bradford Mayo Avenue,BDMA,53.771245,-1.759774,Urban Traffic,BD5 8HR,TRUE
Brentford Roadside,BRN,51.489448,-0.310121,Urban Traffic,TW8 0QH,TRUE
Brighton Preston Park,BRT3,50.840836,-0.147572,Urban Background,BN1 6HN,TRUE
Brighton Roadside,BRIT,50.82354,-0.137281,Urban Traffic,BN1 1UB,TRUE
Bristol Centre,BRIS,51.45718,-2.585622,Urban Background,BS1 3BH,TRUE
Bristol East,BRS,51.45365,-2.578496,Urban Background,BS2 0LT,TRUE
Bristol Old Market,BRS2,51.45603,-2.583519,Urban Traffic,BS1 3AE,TRUE
Bristol St Paul's,BRS8,51.462839,-2.584482,Urban Background,BS2 9JF,TRUE
Bristol Temple Way,BR11,51.457968,-2.583975,Urban Traffic,BS2 9DB,TRUE
Bromley Roadside,BY1,51.4071,0.020128,Urban Traffic,BR1 3HP,TRUE
Bury Roadside,BURY,53.53911,-2.289611,Urban Traffic,M25 3AJ,TRUE
Bury Whitefield Roadside,BURW,53.559029,-2.293772,Urban Traffic,M45 8PT,TRUE
Cambridge,CAMB,51.995804,0.037756,Urban Traffic,SG8 8NQ,TRUE
Cambridge Roadside,CAM,52.20237,0.124456,Urban Traffic,CB2 1BY,TRUE
Camden Kerbside,CA1,51.54421,-0.175269,Urban Traffic,NW3 5DL,TRUE
Canterbury,CANT,51.27399,1.098061,Urban Background,CT1 1SP,TRUE
Carlisle Roadside,CARL,54.894834,-2.945307,Urban Traffic,CA2 5TR,TRUE
Chatham Roadside,CHAT,51.374264,0.54797,Urban Traffic,ME5 7EH,TRUE
Chesterfield,CHS6,53.230583,-1.433611,Urban Background,S40 2LP,TRUE
Chesterfield Loundsley Green,CHLG,53.244131,-1.454946,Urban Background,S40 4NG,TRUE
Chesterfield Roadside,CHS7,53.231722,-1.456944,Urban Traffic,S40 3BD,TRUE
Coventry Allesley,COAL,52.411563,-1.560228,Urban Background,CV5 9HQ,TRUE
Coventry Binley Road,COBR,52.407708,-1.490082,Urban Traffic,CV3 1JA,TRUE
Coventry Centre,COV2,52.41345,-1.522133,Urban Background,CV6 1DS,TRUE
Crewe Coppenhall,COPP,53.115941,-2.453492,Urban Background,CW1 3RF,TRUE
Derby St Alkmund's Way,DESA,52.922983,-1.469507,Urban Traffic,DE1 2BB,TRUE
Doncaster A630 Cleveland Street,DCST,53.51824,-1.138057,Urban Traffic,DN1 3AR,TRUE
Dumbarton Roadside,DUMB,55.943197,-4.55973,Urban Traffic,G82 1QU,TRUE
Dumfries,DUMF,55.070033,-3.614233,Urban Traffic,DG1 2AT,TRUE
Dundee Mains Loan,DCC1,56.475434,-2.959861,Urban Background,DD4 7AB,TRUE
East Kilbride,EK,55.754737,-4.171789,Suburban Background,G75 0NT,TRUE
Edinburgh Centre,ED,55.95197,-3.195775,Urban Background,EH2 2DF,TRUE
Edinburgh Med. Sch.,ED2,55.94427,-3.191183,Urban Background,EH8 9LD,TRUE
Edinburgh Nicolson Street,EDNS,55.94476,-3.183991,Urban Traffic,EH8 9BY,TRUE
Edinburgh St Leonards,ED3,55.945589,-3.182186,Urban Background,EH8 9HS,TRUE
Exeter Roadside,EX,50.725083,-3.532465,Urban Traffic,EX4 3RX,TRUE
Featherstone,FEA,53.670222,-1.352146,Urban Background,WF7 5LY,TRUE
Glasgow Great Western Road,GGWR,55.872038,-4.270936,Urban Traffic,G20 6UN,TRUE
Glazebury,GLAZ,53.46008,-2.472056,Rural Background,WA3 5PT,TRUE
Grangemouth,GRAN,56.010319,-3.704399,Urban Industrial,FK3 9EZ,TRUE
Grangemouth Moray,GRA2,56.013142,-3.710833,Urban Industrial,FK3 9DL,TRUE
